Student_ID,Name,Program,Year,Email
S1099,Sue Cervantes,Business Analytics,1st,coreyhaney@example.net
S1100,Terry Campbell,Computer Science,3rd,garyscott@example.org
S1101,Jose Jacobs,Engineering,1st,bradley52@example.net
S1102,Donna Stewart,Data Science,3rd,ashleymaldonado@example.com
S1103,John Cox,Computer Science,1st,lucasdaniels@example.net
S1104,Veronica Quinn MD,Business Analytics,2nd,kristenberger@example.com
S1105,Andrew Jennings DVM,Engineering,4th,kyork@example.com
S1106,Brandon Murray,Engineering,2nd,cgarcia@example.org
S1107,Christine Bryant,Engineering,2nd,gherrera@example.net
S1108,Allison Henry,Data Science,4th,john62@example.org
S1109,David Reed,Computer Science,4th,ocolon@example.com
S1110,Mrs. Amy Mcdonald,Engineering,2nd,rebeccabrooks@example.com
S1111,Rachel Johnson,Data Science,2nd,steven58@example.org
S1112,Anna Dawson,Computer Science,4th,fking@example.org
S1113,Matthew Hall,Computer Science,2nd,harpergabrielle@example.net
S1114,James Hopkins MD,Data Science,4th,dunnsandra@example.com
S1115,Fernando Estes,Data Science,1st,aaron86@example.com
S1116,Bradley Powers,Computer Science,4th,erinberg@example.org
S1117,Kevin Chan,Engineering,2nd,lwilkerson@example.net
S1118,Christopher Collins,Business Analytics,2nd,pjohnson@example.org
S1119,Michael Oliver,Data Science,1st,jamesburch@example.net
S1120,Vanessa Woods,Business Analytics,4th,othomas@example.com
S1121,Joseph Scott,Business Analytics,1st,marknewton@example.com
S1122,Christina Boyd,Engineering,4th,colemanjoel@example.net
S1123,Eric Mathis,Data Science,1st,bwilliams@example.com
S1124,Troy Rodriguez,Business Analytics,4th,wleblanc@example.org
S1125,Michael Larsen,Computer Science,4th,zphillips@example.com
S1126,Daniel Walker,Engineering,4th,georgemyers@example.net
S1127,Kimberly Fisher,Engineering,1st,paul39@example.net
S1128,Justin Pace,Computer Science,2nd,martinezgregory@example.org
S1129,Janice Flores,Business Analytics,2nd,joseph68@example.com
S1130,Mark Dunlap,Computer Science,1st,mccormickjason@example.com
S1131,Kathryn Brooks,Engineering,1st,eduncan@example.org
S1132,Shelly Manning,Computer Science,4th,vickiegraham@example.org
S1133,Dr. Amanda Olson,Business Analytics,2nd,masseyfrank@example.com
S1134,John Banks,Computer Science,4th,lvalenzuela@example.org
S1135,Ashley Wilkinson,Computer Science,3rd,carollowe@example.org
S1136,Heather Jarvis,Computer Science,3rd,conwaymarcus@example.net
S1137,Sarah Sullivan,Computer Science,4th,jtravis@example.org
S1138,Allison Ross,Engineering,1st,amber15@example.net
S1139,Shannon Simon,Data Science,4th,jacobjenkins@example.org
S1140,Mr. Jason Mcgee,Computer Science,4th,lisa56@example.org
S1141,Kimberly Daniels,Engineering,3rd,stevenlopez@example.org
S1142,Teresa Nelson PhD,Computer Science,2nd,jessicathompson@example.com
S1143,Kimberly Barrett,Computer Science,1st,ramirezvanessa@example.com
S1144,Ashley Waters,Data Science,3rd,gail47@example.org
S1145,Donald Hall,Engineering,1st,peterbartlett@example.com
S1146,Justin Warren,Computer Science,4th,pjohnson@example.com
S1147,Courtney Smith,Data Science,2nd,shenry@example.com
S1148,John Gonzalez,Business Analytics,2nd,oliveranna@example.net
S1149,Kurt Pruitt,Engineering,1st,millerjacqueline@example.org
S1150,Christopher Parsons,Computer Science,4th,juliewatson@example.org
S1151,Charles Jones,Data Science,3rd,warejames@example.com
S1152,Christine Cline,Business Analytics,2nd,fphillips@example.org
S1153,Dalton Perkins,Data Science,3rd,ihamilton@example.net
S1154,Shelby Burke,Computer Science,3rd,ashleyjacobs@example.com
S1155,Katelyn Simmons,Data Science,1st,bryanmurray@example.com
S1156,Ryan Smith,Business Analytics,4th,wellsmegan@example.org
S1157,Erika Phillips,Data Science,3rd,tiffany18@example.com
S1158,Samuel Price,Computer Science,1st,andreaturner@example.net
S1159,Philip Robertson,Computer Science,1st,youngmary@example.com
S1160,Marco Arnold,Data Science,3rd,stacey41@example.net
S1161,Jason Walker,Data Science,2nd,colejoe@example.com
S1162,Kent Moran,Business Analytics,1st,karen89@example.com
S1163,Michelle Medina,Data Science,3rd,hcamacho@example.net
S1164,Kenneth Tran,Business Analytics,4th,anthony73@example.org
S1165,Lisa Gutierrez,Business Analytics,3rd,patrickbenjamin@example.com
S1166,Ricky Morales,Business Analytics,4th,owenslarry@example.org
S1167,Jeffery Jordan,Engineering,2nd,danielgutierrez@example.com
S1168,Samuel Edwards,Data Science,3rd,juliehensley@example.org
S1169,Zachary Vaughn,Engineering,2nd,anthony48@example.org
S1170,Rebecca Obrien,Computer Science,3rd,smithalan@example.net
S1171,Jennifer Alexander,Engineering,1st,john98@example.org
S1172,Kimberly Black,Computer Science,2nd,kim99@example.org
S1173,Joel Craig,Engineering,4th,moorejamie@example.net
S1174,Jason Thompson,Engineering,2nd,qparker@example.org
S1175,Christopher Cummings,Data Science,3rd,dsmith@example.net
S1176,Corey Cox,Data Science,2nd,hjohnson@example.com
S1177,Stanley Johnson,Data Science,4th,vbautista@example.net
S1178,Danny Green,Data Science,3rd,qdavis@example.org
S1179,Dr. Krista Boyer,Engineering,3rd,lcrosby@example.com
S1180,Mr. James Olson,Engineering,2nd,lorrainebishop@example.com
S1181,Tyler Clarke,Computer Science,2nd,vsanders@example.com
S1182,Justin Jones,Engineering,2nd,josephjenkins@example.net
S1183,Michael Harrington,Data Science,1st,umclean@example.com
S1184,Jacob Benitez,Business Analytics,4th,david04@example.org
S1185,Emily Chapman,Computer Science,3rd,ohawkins@example.org
S1186,Alyssa Klein,Data Science,4th,aaronperez@example.com
S1187,Abigail Robinson,Engineering,4th,vbrown@example.com
S1188,Justin Myers,Business Analytics,3rd,jasonthompson@example.net
S1189,Thomas Brewer,Data Science,4th,natasha59@example.org
S1190,Justin Harmon,Data Science,2nd,kellyhiggins@example.org
S1191,Jasmine Robinson,Computer Science,2nd,brittanyberger@example.org
S1192,Maureen Williams,Computer Science,2nd,currynorma@example.org
S1193,Jessica Pittman,Engineering,3rd,rsoto@example.com
S1194,Alexandra Ramirez,Computer Science,1st,dillonvirginia@example.com
S1195,Timothy Warren Jr.,Engineering,3rd,james12@example.com
S1196,Brian Hayes,Computer Science,1st,dylanvasquez@example.net
S1197,Jessica Wood,Computer Science,2nd,brownjill@example.org
S1198,Matthew Perez,Computer Science,1st,rgreen@example.net
S1199,Krista Collins,Business Analytics,3rd,edward04@example.net
S1200,Janet Dunn,Business Analytics,2nd,dayanthony@example.net
S1201,Karen Palmer,Data Science,3rd,nhernandez@example.net
S1202,Mary Lopez,Data Science,3rd,lucas43@example.com
S1203,Keith Yang MD,Engineering,3rd,efuentes@example.org
S1204,Kathryn Hubbard,Business Analytics,1st,stephanie89@example.net
S1205,Terri Brown,Business Analytics,1st,amandadavenport@example.com
S1206,Andrew Berry,Engineering,1st,martinmathew@example.com
S1207,Jaime Hudson,Computer Science,2nd,fosterleah@example.net
S1208,Louis Boyd,Business Analytics,4th,chapmananthony@example.com
S1209,Kevin Jackson,Data Science,1st,mcguirerenee@example.com
S1210,Rebecca Hancock,Engineering,4th,yolandamyers@example.net
S1211,Marvin Moreno,Computer Science,1st,rmills@example.com
S1212,Alfred Lowe,Computer Science,1st,brandonolsen@example.org
S1213,Jamie Jones,Business Analytics,1st,dalton08@example.org
S1214,Andrew Spencer,Engineering,1st,amanda80@example.org
S1215,Kimberly Jones,Business Analytics,3rd,philip10@example.org
S1216,Sherri Flores,Engineering,3rd,weberashley@example.com
S1217,Teresa Young,Business Analytics,4th,theresa89@example.net
S1218,Joshua Gilbert,Business Analytics,2nd,daniel53@example.net
S1219,Scott Carter,Computer Science,3rd,wesleywells@example.com
S1220,Laura Harrison,Data Science,1st,perezmark@example.org
S1221,Aaron Stevens,Data Science,3rd,sarahtaylor@example.com
S1222,Steven Wilson,Business Analytics,1st,ortizheather@example.com
S1223,David Weber,Engineering,3rd,deborahjackson@example.net
S1224,Erin Brown,Data Science,4th,moorebrittany@example.org
S1225,Donna Marsh,Data Science,2nd,awest@example.net
S1226,Thomas Jarvis,Business Analytics,4th,brittany56@example.com
S1227,Heather Thomas,Business Analytics,1st,cmitchell@example.net
S1228,Nathaniel Gould,Computer Science,4th,award@example.com
S1229,Brianna Thompson,Business Analytics,1st,patrickstark@example.org
S1230,Mrs. Karen Williams,Data Science,2nd,michaelspears@example.com
S1231,Jordan Ray,Computer Science,1st,mflynn@example.com
S1232,Sara Wolfe,Data Science,2nd,berryaaron@example.net
S1233,Larry Parker,Business Analytics,1st,hturner@example.org
S1234,Michael Brady,Computer Science,3rd,brownleah@example.net
S1235,Nicholas Smith,Data Science,2nd,rodriguezjill@example.com
S1236,Michael Rodriguez,Data Science,2nd,tammy45@example.com
S1237,Tara Lawson,Computer Science,2nd,ian79@example.org
S1238,Angela Kelly,Engineering,2nd,seanthompson@example.org
S1239,Matthew Carrillo,Engineering,3rd,williamselizabeth@example.net
S1240,Peter Johnston,Computer Science,3rd,millerangela@example.net
S1241,Richard Carr,Business Analytics,4th,wilsonhector@example.net
S1242,Kara English,Business Analytics,4th,lrodriguez@example.com
S1243,Rebecca Blair,Data Science,4th,rickmartin@example.com
S1244,Samantha Goodman,Business Analytics,3rd,edwardsleslie@example.org
S1245,Sara Weaver,Engineering,2nd,geaton@example.org
S1246,Travis Murphy,Computer Science,4th,ccameron@example.org
S1247,Keith Torres,Data Science,2nd,crobinson@example.net
S1248,Peter Turner,Data Science,2nd,kanderson@example.com
S1249,Sarah Hunt,Business Analytics,3rd,deborahjones@example.com
S1250,Gabriella Hill,Engineering,2nd,dean55@example.net
S1251,Amy Randolph,Computer Science,3rd,tylerjohnson@example.org
S1252,Jeffrey Roberts,Data Science,1st,brandon84@example.com
S1253,Scott Martinez,Data Science,2nd,linjack@example.com
S1254,Julia Murray,Data Science,4th,qblake@example.net
S1255,Angela King,Engineering,3rd,philip91@example.net
S1256,Tracy Price,Computer Science,2nd,qchase@example.net
S1257,Perry Hernandez,Data Science,4th,mary31@example.com
S1258,Jamie Nichols,Business Analytics,1st,tobrien@example.org
S1259,Nathan Davila,Business Analytics,4th,lisa62@example.net
S1260,Gloria Martin,Business Analytics,1st,keithcole@example.net
S1261,Thomas Barrera,Engineering,1st,rlittle@example.com
S1262,William Reyes,Data Science,2nd,srivera@example.org
S1263,Rhonda Perez,Data Science,3rd,chadbarker@example.com
S1264,Derek Moyer,Data Science,2nd,raymond83@example.com
S1265,John Morris,Computer Science,2nd,eric99@example.org
S1266,Erika Carey,Data Science,3rd,qbeard@example.net
S1267,Cameron Wise,Business Analytics,2nd,vbarnes@example.net
S1268,Mark Malone,Computer Science,4th,zachary87@example.com
S1269,John Sweeney,Engineering,1st,amartin@example.org
S1270,Rebecca Smith,Computer Science,3rd,hammonddonald@example.org
S1271,Chris Wilson,Computer Science,2nd,leeheather@example.com
S1272,Kelly Estrada,Data Science,2nd,davidfields@example.org
S1273,Carrie Ayala,Engineering,4th,ywiley@example.org
S1274,Jacob Olson,Computer Science,3rd,parkerchristopher@example.com
S1275,Lindsay Hall,Data Science,3rd,nelsonbryan@example.net
S1276,Emily Lewis DVM,Data Science,1st,wayne54@example.org
S1277,Brad Smith,Business Analytics,1st,ifields@example.com
S1278,David Morris,Data Science,1st,marcus79@example.com
S1279,Hannah Stafford,Computer Science,1st,zturner@example.org
S1280,William Sanchez,Computer Science,4th,goodmanbeverly@example.net
S1281,Andrew Bennett,Data Science,2nd,eric23@example.net
S1282,Jody Hernandez,Engineering,2nd,jeffersonzachary@example.com
S1283,Matthew Taylor,Business Analytics,2nd,amandajohnson@example.org
S1284,Kevin White,Data Science,1st,matthewwilkinson@example.net
S1285,Donna Jordan,Engineering,1st,gharrison@example.org
S1286,Steven Hernandez,Business Analytics,1st,gregorycoleman@example.com
S1287,Danny Keith,Engineering,3rd,petersenjason@example.net
S1288,Christopher Brown,Business Analytics,3rd,michellesmith@example.net
S1289,Vicki Tucker,Engineering,3rd,ataylor@example.net
S1290,Scott Velez,Data Science,4th,jamesrobinson@example.com
S1291,Jose Freeman,Computer Science,1st,saundersbobby@example.org
S1292,Christian Brown,Computer Science,2nd,joshuaberry@example.com
S1293,Nancy Mccoy,Computer Science,4th,gabbott@example.net
S1294,Sarah Dodson,Business Analytics,2nd,mdelgado@example.net
S1295,Dakota Scott,Engineering,4th,davidnguyen@example.com
S1296,Jerome Barnes,Data Science,4th,jacqueline77@example.net
S1297,Philip Cobb,Computer Science,4th,saundersjessica@example.net
S1298,Nathan Brown,Engineering,4th,pdiaz@example.net
S1299,Rebecca Brooks,Business Analytics,2nd,robert17@example.org
S1300,Derrick Jackson,Engineering,3rd,jamesmartinez@example.net
S1301,Daniel Pacheco,Computer Science,2nd,johnsonconnie@example.com
S1302,Duane Walton,Business Analytics,1st,phyllisdawson@example.net
S1303,Emily Everett,Engineering,1st,mroberts@example.org
S1304,Amy David,Data Science,2nd,thomasclay@example.org
S1305,Kyle Miller,Computer Science,3rd,benglish@example.net
S1306,Mary Benton,Engineering,2nd,lucasperez@example.com
S1307,Cory Mendez,Data Science,1st,pdoyle@example.org
S1308,Cassandra Stewart,Computer Science,3rd,ibaker@example.net
S1309,Michelle Steele,Engineering,2nd,adam20@example.org
S1310,David Mejia,Engineering,3rd,erivera@example.net
S1311,Daniel Medina,Engineering,3rd,sweeneyhannah@example.com
S1312,Jill Sullivan,Data Science,2nd,jeanettedavidson@example.net
S1313,Shari Whitehead,Computer Science,4th,smithdenise@example.com
S1314,Donald Brady,Business Analytics,1st,ohoffman@example.org
S1315,Patricia Reynolds,Engineering,2nd,jordanmurillo@example.com
S1316,Herbert Kirk,Engineering,4th,morrisonmichele@example.org
S1317,Elizabeth Thomas,Engineering,1st,jonathan25@example.org
S1318,Donald Malone,Business Analytics,1st,teresawright@example.org
S1319,Angela Dalton,Data Science,2nd,natasha71@example.net
S1320,Michael Robinson,Business Analytics,4th,bobby10@example.org
S1321,Kathy Cox,Business Analytics,3rd,davidward@example.org
S1322,Melissa Schneider,Engineering,2nd,kristin30@example.com
S1323,Justin Cruz,Data Science,1st,berryanthony@example.org
S1324,Margaret Yates,Business Analytics,3rd,petersjohn@example.org
S1325,Shannon Garcia,Data Science,2nd,mayomary@example.net
S1326,Cory Weaver,Data Science,1st,wparker@example.net
S1327,Rodney Douglas,Engineering,4th,christopher04@example.net
S1328,Kenneth Lane,Engineering,3rd,elizabeth97@example.com
S1329,Denise Conrad,Computer Science,4th,ericpowers@example.org
S1330,Melissa Rios,Engineering,4th,elizabethrodriguez@example.com
S1331,Mr. Kevin Ford,Business Analytics,4th,savannah75@example.com
S1332,Edward Thompson,Computer Science,1st,ptaylor@example.org
S1333,Felicia Lambert,Computer Science,1st,benjamin17@example.org
S1334,Andrea Simmons,Engineering,1st,thomasjohn@example.org
S1335,Jennifer Phillips,Computer Science,4th,zanderson@example.org
S1336,William Beasley,Data Science,4th,pearsondonna@example.net
S1337,James Guzman,Data Science,1st,michellehutchinson@example.org
S1338,Randy Pitts,Business Analytics,2nd,brookehopkins@example.com
S1339,Dwayne Mejia,Business Analytics,4th,amanda09@example.net
S1340,Jeffrey Hayes,Computer Science,1st,connorperez@example.com
S1341,Anthony Esparza,Computer Science,2nd,higginsxavier@example.com
S1342,Christopher Galvan,Business Analytics,4th,blang@example.com
S1343,Richard Thompson,Business Analytics,2nd,kramerstephen@example.net
S1344,Richard Gamble,Computer Science,4th,dave70@example.com
S1345,Shannon Williams,Engineering,3rd,davidsonamanda@example.org
S1346,Thomas Garrett,Computer Science,2nd,tracy91@example.com
S1347,Brian Cervantes,Engineering,3rd,wgarner@example.com
S1348,Tina Carroll,Computer Science,3rd,karenbowers@example.net
S1349,Kelly Olson,Data Science,1st,corey97@example.com
S1350,Jeremy Mendoza,Computer Science,4th,ryan32@example.com
S1351,John Flores,Business Analytics,4th,deannajoyce@example.net
S1352,Edward Knight,Engineering,2nd,christine48@example.org
S1353,Derek Gonzalez,Business Analytics,2nd,brittany21@example.net
S1354,Manuel Fernandez,Business Analytics,3rd,ywarren@example.org
S1355,Angela Johnson,Data Science,2nd,rhayes@example.com
S1356,Ryan Molina,Engineering,3rd,virginiasmith@example.com
S1357,Molly Jacobs,Engineering,4th,nicholasnguyen@example.com
S1358,Adam Gonzalez,Computer Science,2nd,anthony57@example.com
S1359,Deanna Thomas,Business Analytics,1st,sharon51@example.com
S1360,Jeffrey Johnson,Computer Science,2nd,josephbarker@example.net
S1361,James Cabrera,Data Science,3rd,robert56@example.org
S1362,Patrick Newman,Computer Science,4th,mooreryan@example.org
S1363,Frank Fisher,Business Analytics,3rd,tiffany39@example.com
S1364,Nicole Rice,Business Analytics,1st,richard07@example.net
S1365,Rebekah Jackson,Data Science,3rd,eburch@example.org
S1366,Jonathan Bryant,Data Science,1st,hernandezedward@example.net
S1367,Anthony Burns,Engineering,2nd,diazscott@example.net
S1368,Donna Thompson,Business Analytics,1st,john60@example.com
S1369,Kevin Tapia,Computer Science,3rd,mark15@example.org
S1370,Jeanette Todd,Business Analytics,2nd,ajackson@example.org
S1371,Andrea Richardson MD,Business Analytics,3rd,jennifermartinez@example.net
S1372,William Williams,Data Science,4th,vjohnston@example.net
S1373,Karen Mendoza,Engineering,2nd,pharris@example.com
S1374,Timothy Wilson,Engineering,3rd,jennifer18@example.org
S1375,Megan West,Computer Science,3rd,ellisonjeffrey@example.net
S1376,Jeremy Thornton,Business Analytics,1st,ygibson@example.net
S1377,Anthony Young,Engineering,3rd,dayjose@example.net
S1378,Darrell Rodriguez,Computer Science,2nd,sanchezmallory@example.com
S1379,Mr. Dale Dyer,Engineering,2nd,phillipthomas@example.org
S1380,Willie Estrada,Engineering,1st,hpatel@example.net
S1381,Steve Trevino,Data Science,2nd,davismichael@example.net
S1382,Erica Daniel,Business Analytics,3rd,holly00@example.com
S1383,Eugene Beck,Computer Science,4th,amanda18@example.org
S1384,Robin Gonzalez,Computer Science,4th,kbennett@example.net
S1385,Devon Donaldson MD,Engineering,1st,wesley86@example.net
S1386,Antonio Owens,Business Analytics,1st,bmelton@example.com
S1387,Julie Bradford,Engineering,2nd,hgillespie@example.org
S1388,Chelsea Small,Data Science,3rd,felicia56@example.com
S1389,Jennifer Bradshaw,Computer Science,2nd,lutzjohn@example.org
S1390,Tammy Ballard,Engineering,4th,twhite@example.com
S1391,Patrick Yang,Computer Science,4th,brownjessica@example.org
S1392,Stacey Schmidt,Data Science,2nd,obrienelaine@example.net
S1393,Richard Lyons,Business Analytics,3rd,bbrown@example.net
S1394,Brett Mcdaniel,Computer Science,1st,dmoore@example.com
S1395,Megan Harris,Business Analytics,3rd,janicewelch@example.com
S1396,Sheri Rhodes,Computer Science,1st,stephanie51@example.org
S1397,James Harvey,Computer Science,3rd,nathanarmstrong@example.net
S1398,Cassandra Castro DVM,Computer Science,4th,holtashley@example.org
S1399,Cynthia Phillips,Engineering,3rd,borozco@example.org
S1400,Dr. Austin Green,Business Analytics,3rd,xsmith@example.com
S1401,Megan Clark,Computer Science,1st,catherine83@example.com
S1402,Teresa Walker,Business Analytics,2nd,alicia47@example.org
S1403,Joshua Strong,Data Science,2nd,flopez@example.com
S1404,Christy Thompson,Engineering,4th,nmoore@example.org
S1405,Kathryn Rodriguez,Data Science,4th,aadkins@example.org
S1406,Marissa Riley,Business Analytics,4th,yrodriguez@example.com
S1407,Dawn Sherman,Engineering,3rd,mrobinson@example.net
S1408,Bruce Kramer,Computer Science,4th,espencer@example.net
S1409,Allen Walker MD,Business Analytics,1st,michelle49@example.net
S1410,Eric Bolton,Business Analytics,3rd,perezchristopher@example.org
S1411,Krystal Flores,Data Science,4th,amandasmith@example.net
S1412,Rhonda Smith,Computer Science,2nd,aleach@example.com
S1413,David Jordan,Business Analytics,2nd,danielwhite@example.org
S1414,Aaron Moore,Engineering,4th,murphygary@example.net
S1415,Joseph Taylor,Engineering,1st,justin00@example.net
S1416,Debra Haas,Engineering,3rd,melissacardenas@example.net
S1417,Shannon Savage,Engineering,3rd,johnmcclure@example.net
S1418,Erin Dodson,Business Analytics,3rd,ellisjodi@example.net
S1419,Anna Mckay,Business Analytics,4th,richard54@example.org
S1420,Christina Fernandez,Engineering,2nd,shelleykim@example.net
S1421,Faith Frye,Data Science,4th,gregorycoleman@example.com
S1422,Kelly Bradford,Data Science,4th,pwilliams@example.net
S1423,Katherine Olsen,Data Science,3rd,jacksonchristopher@example.net
S1424,Lori Horton,Engineering,2nd,amyhorton@example.org
S1425,Pamela Cunningham,Engineering,4th,armstrongjason@example.net
S1426,Susan Willis,Business Analytics,1st,zacharythomas@example.com
S1427,Helen Martinez,Business Analytics,4th,ggoodman@example.org
S1428,Randy Smith,Data Science,4th,christine21@example.net
S1429,Chelsea Webb,Computer Science,2nd,kevinbishop@example.com
S1430,Jessica Allen,Business Analytics,2nd,kellycarly@example.com
S1431,Rebecca Young,Computer Science,2nd,bakerkyle@example.net
S1432,Lisa Wilson,Data Science,1st,xtaylor@example.org
S1433,Laura Villa,Computer Science,1st,ruben72@example.org
S1434,Brittany Wright,Business Analytics,4th,sarahcampbell@example.org
S1435,Sarah Jensen,Computer Science,2nd,rogercrawford@example.net
S1436,Stephen Gillespie,Computer Science,2nd,bradybeck@example.com
S1437,Casey Williams,Data Science,2nd,brownpatrick@example.net
S1438,John Lopez,Business Analytics,3rd,susanfoley@example.com
S1439,Claudia Herman,Computer Science,3rd,lisarios@example.org
S1440,Mark Allen,Computer Science,3rd,leah62@example.com
S1441,Dylan Gray,Data Science,4th,sherry18@example.org
